topic,kind,publishers,subscribers
/mavros/setpoint_accel/accel,subscriber_only,,/mavros
/mavros/setpoint_attitude/cmd_vel,subscriber_only,,/mavros
/mavros/setpoint_attitude/thrust,subscriber_only,,/mavros
/mavros/setpoint_position/global,subscriber_only,,/mavros
/mavros/setpoint_position/global_to_local,subscriber_only,,/mavros
/mavros/setpoint_raw/attitude,subscriber_only,,/mavros
/mavros/setpoint_raw/global,subscriber_only,,/mavros
/mavros/setpoint_raw/local,subscriber_only,,/mavros
/mavros/setpoint_raw/target_attitude,publisher_only,/mavros,
/mavros/setpoint_raw/target_global,publisher_only,/mavros,
/mavros/setpoint_raw/target_local,publisher_only,/mavros,
/mavros/setpoint_trajectory/desired,publisher_only,/mavros,
/mavros/setpoint_trajectory/local,subscriber_only,,/mavros
/mavros/setpoint_velocity/cmd_vel,subscriber_only,,/mavros
/mavros/setpoint_velocity/cmd_vel_unstamped,subscriber_only,,/mavros
/mavros/statustext/recv,publisher_only,/mavros,
/mavros/statustext/send,subscriber_only,,/mavros
/mavros/sys_status,publisher_only,/mavros,
/mavros/target_actuator_control,publisher_only,/mavros,
/mavros/terrain/report,publisher_only,/mavros,
/mavros/time_reference,publisher_only,/mavros,
/mavros/timesync_status,publisher_only,/mavros,
/mavros/trajectory/desired,publisher_only,/mavros,
/mavros/trajectory/generated,subscriber_only,,/mavros
/mavros/trajectory/path,subscriber_only,,/mavros
/mavros/tunnel/in,subscriber_only,,/mavros
/mavros/tunnel/out,publisher_only,/mavros,
/mavros/vfr_hud,publisher_only,/mavros,
/mavros/vision_pose/pose,subscriber_only,,/mavros
/mavros/vision_pose/pose_cov,subscriber_only,,/mavros
/mavros/vision_speed/speed_twist_cov,subscriber_only,,/mavros
/mavros/wind_estimation,publisher_only,/mavros,
/mission/visual_delivery_audit_status,publisher_only,/visual_delivery_audit,
/path,publisher_only,/laserMapping,
/pcl_render_node/camera_pose,subscriber_only,,/fast_planner_node
/pcl_render_node/depth,subscriber_only,,/fast_planner_node
/planning/pos_cmd,publisher_only,/traj_server,
/planning/position_cmd_vis,publisher_only,/traj_server,
/planning/travel_traj,publisher_only,/traj_server,
/planning_vis/frontier,publisher_only,/fast_planner_node,
/planning_vis/prediction,publisher_only,/fast_planner_node,
/planning_vis/topo_path,publisher_only,/fast_planner_node,
/planning_vis/trajectory,publisher_only,/fast_planner_node,
/planning_vis/visib_constraint,publisher_only,/fast_planner_node,
/planning_vis/yaw,publisher_only,/fast_planner_node,
/rosout_agg,publisher_only,/rosout,
/save_map,subscriber_only,,/freedom
/sdf_map/depth_cloud,publisher_only,/fast_planner_node,
/sdf_map/esdf,publisher_only,/fast_planner_node,
/sdf_map/occupancy,publisher_only,/fast_planner_node,
/sdf_map/occupancy_inflate,publisher_only,/fast_planner_node,
/sdf_map/unknown,publisher_only,/fast_planner_node,
/sdf_map/update_range,publisher_only,/fast_planner_node,
/servo/complete,subscriber_only,,/patrol_control
/traj_start_trigger,subscriber_only,,/waypoint_generator
/uav_vision/circle_debug,publisher_only,/circle_detector,
/uav_vision/cross_debug,publisher_only,/cross_detector,
/uav_vision/debug_image,publisher_only,/cross_detector;/landing_detector,
/uav_vision/perf,publisher_only,/target_detector,
/waypoint_generator/waypoints,publisher_only,/waypoint_generator,
/waypoint_generator/waypoints_vis,publisher_only,/waypoint_generator,
