topic,type,publishers,subscribers
/mavros/gps_rtk/send_rtcm,mavros_msgs/RTCM,,/mavros
/mavros/gpsstatus/gps1/raw,mavros_msgs/GPSRAW,/mavros,
/mavros/gpsstatus/gps1/rtk,mavros_msgs/GPSRTK,/mavros,
/mavros/gpsstatus/gps2/raw,mavros_msgs/GPSRAW,/mavros,
/mavros/gpsstatus/gps2/rtk,mavros_msgs/GPSRTK,/mavros,
/mavros/hil/actuator_controls,mavros_msgs/HilActuatorControls,/mavros,
/mavros/hil/controls,mavros_msgs/HilControls,/mavros,
/mavros/hil/gps,mavros_msgs/HilGPS,,/mavros
/mavros/hil/imu_ned,mavros_msgs/HilSensor,,/mavros
/mavros/hil/optical_flow,mavros_msgs/OpticalFlowRad,,/mavros
/mavros/hil/rc_inputs,mavros_msgs/RCIn,,/mavros
/mavros/hil/state,mavros_msgs/HilStateQuaternion,,/mavros
/mavros/home_position/home,mavros_msgs/HomePosition,/mavros,/mavros
/mavros/home_position/set,mavros_msgs/HomePosition,,/mavros
/mavros/imu/data,sensor_msgs/Imu,/mavros,/laserMapping
/mavros/imu/data_raw,sensor_msgs/Imu,/mavros,
/mavros/imu/diff_pressure,sensor_msgs/FluidPressure,/mavros,
/mavros/imu/mag,sensor_msgs/MagneticField,/mavros,
/mavros/imu/static_pressure,sensor_msgs/FluidPressure,/mavros,
/mavros/imu/temperature_baro,sensor_msgs/Temperature,/mavros,
/mavros/imu/temperature_imu,sensor_msgs/Temperature,/mavros,
/mavros/landing_target/lt_marker,geometry_msgs/Vector3Stamped,/mavros,
/mavros/landing_target/pose,geometry_msgs/PoseStamped,,/mavros
/mavros/landing_target/pose_in,geometry_msgs/PoseStamped,/mavros,
/mavros/local_position/accel,geometry_msgs/AccelWithCovarianceStamped,/mavros,
/mavros/local_position/odom,nav_msgs/Odometry,/mavros,/fast_planner_node;/navigation/planner_bridge;/traj_server;/waypoint_generator
/mavros/local_position/pose,geometry_msgs/PoseStamped,/mavros,/mavros;/navigation/mission_manager;/navigation_vcl06_assertion;/patrol_control;/release_permission_arbiter;/vision_pose_tf;/visual_delivery_audit
/mavros/local_position/pose_cov,geometry_msgs/PoseWithCovarianceStamped,/mavros,
